field.markers39.marker_name,field.markers39.subject_name,field.markers39.segment_name,field.markers39.translation.x,field.markers39.translation.y,field.markers39.translation.z,field.markers39.occluded,field.markers40.marker_name,field.markers40.subject_name,field.markers40.segment_name,field.markers40.translation.x,field.markers40.translation.y,field.markers40.translation.z,field.markers40.occluded,field.markers41.marker_name,field.markers41.subject_name,field.markers41.segment_name,field.markers41.translation.x,field.markers41.translation.y,field.markers41.translation.z,field.markers41.occluded,field.markers42.marker_name,field.markers42.subject_name,field.markers42.segment_name,field.markers42.translation.x,field.markers42.translation.y,field.markers42.translation.z,field.markers42.occluded
Bottle 1,Bottle,Bottle,0,0,0,1,Bottle 2,Bottle,Bottle,0,0,0,1,Bottle 3,Bottle,Bottle,0,0,0,1,Bottle 4,Bottle,Bottle,0,0,0,1
Bottle 1,Bottle,Bottle,0,0,0,1,Bottle 2,Bottle,Bottle,0,0,0,1,Bottle 3,Bottle,Bottle,0,0,0,1,Bottle 4,Bottle,Bottle,0,0,0,1
Bottle 1,Bottle,Bottle,1314.65490723,116.916351318,964.930603027,0,Bottle 2,Bottle,Bottle,1265.3248291,81.589553833,858.285461426,0,Bottle 3,Bottle,Bottle,1321.69909668,131.14793396,844.991943359,0,Bottle 4,Bottle,Bottle,1345.37524414,70.454498291,855.036315918,0
Bottle 1,Bottle,Bottle,1330.73840332,124.986175537,997.364074707,0,Bottle 2,Bottle,Bottle,1280.37768555,81.5319366455,894.390991211,0,Bottle 3,Bottle,Bottle,1334.8659668,131.806915283,876.651245117,0,Bottle 4,Bottle,Bottle,1360.20898438,72.4857940674,889.866149902,0
Bottle 1,Bottle,Bottle,1356.02111816,134.91229248,1036.68493652,0,Bottle 2,Bottle,Bottle,1301.60571289,83.1437683105,939.969970703,0,Bottle 3,Bottle,Bottle,1353.86523438,133.211166382,915.719970703,0,Bottle 4,Bottle,Bottle,1381.45947266,75.5034713745,931.85925293,0
Bottle 1,Bottle,Bottle,1377.57580566,140.444458008,1063.60864258,0,Bottle 2,Bottle,Bottle,1318.35339355,84.2198486328,972.424560547,0,Bottle 3,Bottle,Bottle,1368.23986816,134.371810913,943.277709961,0,Bottle 4,Bottle,Bottle,1397.73388672,77.8480377197,959.561767578,0
Bottle 1,Bottle,Bottle,1411.78991699,149.812835693,1093.30529785,0,Bottle 2,Bottle,Bottle,1342.45056152,86.1599121094,1015.31018066,0,Bottle 3,Bottle,Bottle,1385.09887695,137.204574585,976.255859375,0,Bottle 4,Bottle,Bottle,1419.58239746,82.9943313599,990.467712402,0
Bottle 1,Bottle,Bottle,1441.80883789,160.513458252,1119.72961426,0,Bottle 2,Bottle,Bottle,1366.10900879,90.8199386597,1053.50854492,0,Bottle 3,Bottle,Bottle,1401.58007812,141.565963745,1007.25811768,0,Bottle 4,Bottle,Bottle,1439.92565918,89.3958129883,1019.30548096,0
Bottle 1,Bottle,Bottle,1463.93579102,164.584396362,1148.84460449,0,Bottle 2,Bottle,Bottle,1385.3079834,93.0276794434,1088.20593262,0,Bottle 3,Bottle,Bottle,1414.61889648,145.830551147,1040.20495605,0,Bottle 4,Bottle,Bottle,1455.60009766,95.5665054321,1047.3190918,0
Bottle 1,Bottle,Bottle,1476.5333252,165.957183838,1171.20935059,0,Bottle 2,Bottle,Bottle,1397.00048828,93.9572143555,1112.21606445,0,Bottle 3,Bottle,Bottle,1421.78991699,149.373886108,1064.58312988,0,Bottle 4,Bottle,Bottle,1465.08374023,100.213340759,1067.8293457,0
Bottle 1,Bottle,Bottle,1489.51184082,168.909912109,1200.41101074,0,Bottle 2,Bottle,Bottle,1410.32434082,96.351600647,1141.56518555,0,Bottle 3,Bottle,Bottle,1431.05456543,154.810546875,1095.82653809,0,Bottle 4,Bottle,Bottle,1476.17663574,107.12084198,1094.84094238,0
Bottle 1,Bottle,Bottle,1500.39624023,169.925842285,1228.92663574,0,Bottle 2,Bottle,Bottle,1421.15307617,98.5097503662,1168.86950684,0,Bottle 3,Bottle,Bottle,1438.75317383,159.954589844,1125.39575195,0,Bottle 4,Bottle,Bottle,1485.20068359,113.704498291,1120.53259277,0
Bottle 1,Bottle,Bottle,1508.21911621,171.99446106,1255.92211914,0,Bottle 2,Bottle,Bottle,1429.44628906,101.474555969,1194.21923828,0,Bottle 3,Bottle,Bottle,1444.66992188,165.236312866,1153.36303711,0,Bottle 4,Bottle,Bottle,1492.0769043,120.714836121,1145.1439209,0
Bottle 1,Bottle,Bottle,1515.21362305,173.332580566,1288.29882812,0,Bottle 2,Bottle,Bottle,1437.04382324,105.749710083,1222.86694336,0,Bottle 3,Bottle,Bottle,1451.04125977,172.212936401,1185.93823242,0,Bottle 4,Bottle,Bottle,1498.85888672,128.641937256,1174.83374023,0
Bottle 1,Bottle,Bottle,1518.36413574,173.7578125,1306.02832031,0,Bottle 2,Bottle,Bottle,1440.13391113,108.80393219,1238.04504395,0,Bottle 3,Bottle,Bottle,1454.23095703,176.386474609,1203.53710938,0,Bottle 4,Bottle,Bottle,1502.1315918,133.499404907,1190.79943848,0
Bottle 1,Bottle,Bottle,1520.12182617,176.339492798,1321.59643555,0,Bottle 2,Bottle,Bottle,1442.55541992,112.933113098,1251.65380859,0,Bottle 3,Bottle,Bottle,1456.52783203,181.646713257,1218.89978027,0,Bottle 4,Bottle,Bottle,1504.61938477,139.099151611,1205.28186035,0
Bottle 1,Bottle,Bottle,1522.4864502,181.166030884,1339.5189209,0,Bottle 2,Bottle,Bottle,1445.53601074,118.932655334,1267.61901855,0,Bottle 3,Bottle,Bottle,1458.71606445,188.283279419,1236.91674805,0,Bottle 4,Bottle,Bottle,1507.31469727,147.077560425,1222.1361084,0
